"lunaid","vdate","npop","meanval","sdval","meansize","meanauto","meanpump","totalval"
11443,20170405,12,0.625,0.32218007387174,NA,32.125,NA,5
11443,20190710,12,0.75875,0.15833395989851,NA,32,NA,6.07
11444,20151002,10,0.698,0.251387262118739,60.7,25.2,35.5,6.98
11444,20190308,9,0.570909090909091,0.167359167388855,50.9090909090909,19.8181818181818,31.0909090909091,6.28
11445,20151003,10,0.609,0.219618355840814,61.6,29.3,32.3,6.09
11445,20170518,10,0.665,0.237030237170985,63.5,29.1,34.4,6.65
11445,20181214,8,0.500833333333333,0.220761423397762,52,24,28,6.01
11446,20151005,9,0.686363636363636,0.281505691852677,NA,29.9090909090909,NA,7.55
11447,20151005,10,0.849,0.423882845449856,NA,32.4,NA,8.49
11447,20170524,10,0.65,0.211765068990248,56.6,22.6,34,6.5
11447,20190109,9,0.704545454545455,0.1304119347578,39.9090909090909,3.63636363636364,36.2727272727273,7.75
11448,20151006,7,0.561538461538462,0.172184307930299,NA,23,NA,7.3
11448,20170504,6,0.490714285714286,0.0997276511084283,47.6428571428571,19.4285714285714,28.2142857142857,6.87
11448,20181105,8,0.550833333333333,0.21159387915762,49.6666666666667,19.5,30.1666666666667,6.61
11449,20151006,10,0.661,0.299571916796841,NA,29,NA,6.61
11449,20170426,8,0.424166666666667,0.168007485403226,NA,23.8333333333333,NA,5.09
11449,20190222,9,0.707272727272727,0.202735833492301,NA,33.5454545454545,NA,7.78
11451,20151214,9,0.570909090909091,0.236408736955915,NA,26,NA,6.28
11451,20170629,14,0.893333333333333,0.404755069970305,NA,38.3333333333333,NA,5.36
11452,20151009,10,0.665,0.266926956300783,NA,32.6,NA,6.65
11452,20170915,8,0.503333333333333,0.215589396489688,30.5833333333333,2.41666666666667,28.1666666666667,6.04
